SIZE,ITERATION,NAIVE,BETTER,GSL
25,0,70567,73215,18820
25,1,60459,57205,9198
25,2,64382,57432,9123
25,3,59399,80675,9624
25,4,74390,56698,9105
25,5,59907,56869,9093
25,6,60137,56518,9092
25,7,60200,56373,14610
25,8,141657,143796,52886
25,9,83101,59579,9635
50,0,522862,437775,70893
50,1,526025,437515,68673
50,2,600260,443049,68699
50,3,488645,436971,68688
50,4,489568,511888,68701
50,5,488482,436737,68613
50,6,526254,445828,68688
50,7,684732,439314,72098
50,8,525438,449854,68800
50,9,488329,511316,73555
75,0,1928213,1810821,259319
75,1,2019912,1606580,256323
75,2,2012348,1726279,257300
75,3,1832277,1569112,257147
75,4,2122428,1708073,293263
75,5,1857083,1998391,376995
75,6,2979434,1739826,260315
75,7,2869461,2637783,557507
75,8,3639424,1706982,261065
75,9,2165135,1622822,273313
100,0,4690320,4542957,659999
100,1,4584104,3984899,666202
100,2,4453883,4153447,655698
100,3,4530724,3967545,678035
100,4,4568067,4033014,674563
100,5,4395619,4069737,619077
100,6,5023963,4048581,624015
100,7,4706588,4081067,696954
100,8,4672698,4113424,770207
100,9,4777449,4193836,637312
125,0,9168887,8279253,1383627
125,1,9161860,8055408,1267072
125,2,9640809,8053228,1344529
125,3,9151918,8033694,1459245
125,4,9052610,7812386,1189442
125,5,10077216,10620765,2363807
125,6,10035508,7588900,1237503
125,7,8172258,6971967,1124467
125,8,8443013,7050322,1316610
125,9,8582873,7119919,1163985
150,0,13997532,12267282,1963400
150,1,15164944,12999700,2062238
150,2,14715657,12835059,1918391
150,3,14060747,12786019,3967475
150,4,17149986,16057158,1942160
150,5,14200886,12538057,1943551
150,6,17340436,12359938,1947108
150,7,14070013,13093689,2068965
150,8,15024369,12824038,1971148
150,9,14212740,14494439,2069480
175,0,24619143,27184219,3627437
175,1,30762026,23337885,3285625
175,2,27404979,20562983,3190484
175,3,23796349,21427458,3230912
175,4,26525529,23711750,3497631
175,5,27182740,21390492,5421027
175,6,28735655,20124423,3234243
175,7,24531375,21863900,3472168
175,8,25408870,22433331,3642913
175,9,26470587,20777804,3583166
200,0,38601354,29233396,4720789
200,1,34564123,32802844,5350753
200,2,42081438,29536538,5785094
200,3,59013729,43415894,8781225
200,4,47561038,59343918,6218760
200,5,42830717,35513332,5530947
200,6,42546218,43953339,6798170
200,7,79532590,50190364,9294435
200,8,57334013,36093722,5717583
200,9,45366606,37729374,8083905
225,0,67702855,48795376,7613920
225,1,59585267,44827972,7151271
225,2,57949533,43056715,7156692
225,3,55866624,43795550,8617849
225,4,57231573,44627441,7900867
225,5,54402166,44968419,7927380
225,6,56213009,46812837,7231255
225,7,54384866,52276686,8821070
225,8,54154518,48127331,7512596
225,9,55086407,50104986,7002485
250,0,70299450,59035589,10070798
250,1,78401101,62317017,9926217
250,2,73001291,64735905,10350817
250,3,76975285,64187281,10668309
250,4,90241023,65001669,9946194
250,5,74837638,58344241,9755879
250,6,69686647,62046779,10222977
250,7,73958227,58690673,10346206
250,8,76515131,61723370,10579515
250,9,72871267,64690873,11036748
275,0,97939135,84563615,13677613
275,1,103374476,80924447,16976310
275,2,102565580,84391361,14694560
275,3,98636030,75157865,12940297
275,4,101431679,82301732,13684162
275,5,116353990,87522413,13384752
275,6,108948919,87185999,13365061
275,7,104170039,81288303,12947831
275,8,101428066,81713937,13164873
275,9,101428735,78491065,14846328
300,0,138507237,110136133,18309062
300,1,125127854,101749863,19588355
300,2,127834042,108817133,17017270
300,3,149059960,110548928,16504080
300,4,128236794,103980610,15829128
300,5,123924191,98736907,17232933
300,6,133840591,110490889,19493190
300,7,132226840,108716638,15873624
300,8,132549064,112972327,16820103
300,9,132034444,99980729,16995499
325,0,158975853,130603136,21353357
325,1,161192155,129194260,20879973
325,2,162663810,132806065,21016538
325,3,154390983,132627333,20694432
325,4,164384354,167225727,27202596
325,5,194718517,146947978,23543421
325,6,162932040,138639690,23434914
325,7,181757620,138520461,22158701
325,8,161413672,142977569,20148513
325,9,158827095,138211128,20993013
350,0,216516635,173753191,29280419
350,1,215120733,174479656,28477972
350,2,214019101,173185308,34066034
350,3,224704532,173932899,27643099
350,4,206818491,169676545,27160724
350,5,230610944,174755304,26968526
350,6,206209128,169141517,27974352
350,7,203170002,162713450,28208491
350,8,206893539,169464862,28261677
350,9,213662674,172786007,26233889
375,0,248257321,208119737,31274203
375,1,263561442,203443961,30443778
375,2,258109953,215468237,34101732
375,3,269022940,213864476,31617455
375,4,262111031,209928758,34423042
375,5,259173181,215315107,34446887
375,6,257166118,223035884,42683579
375,7,273308361,205362175,36793294
375,8,279203603,220498617,34027051
375,9,262462665,212230008,37006419
400,0,332352027,263624160,44855443
400,1,352490223,267757836,48777598
400,2,345273170,269010011,37746254
400,3,344324103,259374471,42084932
400,4,334596267,303569971,49745872
400,5,398830311,296049667,40613231
400,6,318828491,269298981,49308497
400,7,359438434,281124837,44335079
400,8,348976053,276203690,48230935
400,9,388180631,290467578,51110439
425,0,463334240,342740154,58748962
425,1,417932490,316831975,63243373
425,2,446305167,313223240,47601041
425,3,417531468,324926812,45116969
425,4,427308433,313919442,50024696
425,5,496060731,375651452,67308183
425,6,505191963,319864068,67176426
425,7,458279230,382376944,50981111
425,8,427948567,324899465,55843353
425,9,512027074,370293064,76989896
450,0,581266363,386607135,57626803
450,1,523070257,413842565,61417311
450,2,499835454,457830644,80090556
450,3,522140015,407332506,65145350
450,4,491101170,341927973,58422639
450,5,481317951,395384645,65738911
450,6,491818203,370877681,59668039
