SIZE_OF_VECTOR,ITERATION,TIME-VECTOR, TIME-MATRIX
2500,0,0.000367,0.000410
2500,1,0.000003,0.000002
2500,2,0.000003,0.000002
2500,3,0.000003,0.000002
2500,4,0.000003,0.000002
2500,5,0.000003,0.000002
2500,6,0.000003,0.000002
2500,7,0.000003,0.000002
2500,8,0.000003,0.000002
2500,9,0.000003,0.000002
10000,0,0.000012,0.000011
10000,1,0.000011,0.000009
10000,2,0.000011,0.000009
10000,3,0.000011,0.000009
10000,4,0.000011,0.000009
10000,5,0.000011,0.000009
10000,6,0.000011,0.000009
10000,7,0.000011,0.000009
10000,8,0.000011,0.000009
10000,9,0.000011,0.000009
22500,0,0.000026,0.000024
22500,1,0.000024,0.000021
22500,2,0.000024,0.000021
22500,3,0.000024,0.000021
22500,4,0.000024,0.000021
22500,5,0.000024,0.000021
22500,6,0.000024,0.000021
22500,7,0.000024,0.000021
22500,8,0.000024,0.000021
22500,9,0.000024,0.000021
40000,0,0.000045,0.000043
40000,1,0.000042,0.000039
40000,2,0.000042,0.000039
40000,3,0.000042,0.000039
40000,4,0.000042,0.000057
40000,5,0.000076,0.000051
40000,6,0.000042,0.000039
40000,7,0.000042,0.000039
40000,8,0.000042,0.000039
40000,9,0.000042,0.000039
62500,0,0.000069,0.000067
62500,1,0.000066,0.000062
62500,2,0.000066,0.000062
62500,3,0.000066,0.000061
62500,4,0.000066,0.000062
62500,5,0.000066,0.000062
62500,6,0.000066,0.000062
62500,7,0.000087,0.000065
62500,8,0.000070,0.000110
62500,9,0.000066,0.000062
90000,0,0.000100,0.000095
90000,1,0.000117,0.000105
90000,2,0.000096,0.000090
90000,3,0.000095,0.000090
90000,4,0.000140,0.000106
90000,5,0.000095,0.000090
90000,6,0.000095,0.000090
90000,7,0.000095,0.000090
90000,8,0.000095,0.000090
90000,9,0.000095,0.000090
122500,0,0.000135,0.000129
122500,1,0.000134,0.000125
122500,2,0.000131,0.000147
122500,3,0.000181,0.000123
122500,4,0.000129,0.000123
122500,5,0.000129,0.000123
122500,6,0.000129,0.000123
122500,7,0.000129,0.000123
122500,8,0.000129,0.000123
122500,9,0.000129,0.000123
160000,0,0.000175,0.000222
160000,1,0.000176,0.000165
160000,2,0.000171,0.000162
160000,3,0.000169,0.000180
160000,4,0.000217,0.000162
160000,5,0.000170,0.000162
160000,6,0.000169,0.000162
160000,7,0.000169,0.000161
160000,8,0.000169,0.000161
160000,9,0.000169,0.000161
202500,0,0.000221,0.000214
202500,1,0.000222,0.000260
202500,2,0.000220,0.000208
202500,3,0.000217,0.000207
202500,4,0.000216,0.000207
202500,5,0.000217,0.000206
202500,6,0.000215,0.000206
202500,7,0.000215,0.000205
202500,8,0.000215,0.000239
202500,9,0.000216,0.000206
250000,0,0.000275,0.000317
250000,1,0.000279,0.000263
250000,2,0.000275,0.000261
250000,3,0.000272,0.000259
250000,4,0.000271,0.000258
250000,5,0.000271,0.000258
250000,6,0.000269,0.000255
250000,7,0.000269,0.000256
250000,8,0.000324,0.000257
250000,9,0.000269,0.000257
302500,0,0.000332,0.000323
302500,1,0.000337,0.000324
302500,2,0.000341,0.000318
302500,3,0.000334,0.000318
302500,4,0.000329,0.000405
302500,5,0.000394,0.000378
302500,6,0.000439,0.000418
302500,7,0.000382,0.000454
302500,8,0.000424,0.000411
302500,9,0.000463,0.000367
360000,0,0.000530,0.000525
360000,1,0.000431,0.000411
360000,2,0.000431,0.000440
360000,3,0.000444,0.000454
360000,4,0.000416,0.000377
360000,5,0.000414,0.000391
360000,6,0.000413,0.000391
360000,7,0.000444,0.000389
360000,8,0.000431,0.000435
360000,9,0.000422,0.000405
422500,0,0.000501,0.000488
422500,1,0.000541,0.000488
422500,2,0.000495,0.000470
422500,3,0.000486,0.000465
422500,4,0.000489,0.000470
422500,5,0.000491,0.000462
422500,6,0.000483,0.000458
422500,7,0.000536,0.000473
422500,8,0.000495,0.000469
422500,9,0.000492,0.000473
490000,0,0.000578,0.000563
490000,1,0.000599,0.000557
490000,2,0.000646,0.000597
490000,3,0.000580,0.000560
490000,4,0.000581,0.000561
490000,5,0.000575,0.000563
490000,6,0.000579,0.000553
490000,7,0.000577,0.000559
490000,8,0.000574,0.000552
490000,9,0.000572,0.000553
562500,0,0.000662,0.000653
562500,1,0.000748,0.000771
562500,2,0.000728,0.000706
562500,3,0.000776,0.000770
562500,4,0.000841,0.000712
562500,5,0.000680,0.000666
562500,6,0.000686,0.000708
562500,7,0.000674,0.000727
562500,8,0.000675,0.000660
562500,9,0.000677,0.000697
640000,0,0.000805,0.000753
640000,1,0.000803,0.000751
640000,2,0.000815,0.000710
640000,3,0.000761,0.000749
640000,4,0.000727,0.000781
640000,5,0.000727,0.000705
640000,6,0.000723,0.000708
640000,7,0.000726,0.000770
640000,8,0.000747,0.000708
640000,9,0.000724,0.000707
722500,0,0.000858,0.000801
722500,1,0.000878,0.000803
722500,2,0.000814,0.000803
722500,3,0.000854,0.000801
722500,4,0.000824,0.000834
722500,5,0.000859,0.000800
722500,6,0.000817,0.000800
722500,7,0.000818,0.000804
722500,8,0.000818,0.000800
722500,9,0.000818,0.000799
810000,0,0.000955,0.000899
810000,1,0.000919,0.000899
810000,2,0.000958,0.000907
810000,3,0.001007,0.000900
810000,4,0.000956,0.000899
810000,5,0.000918,0.000900
810000,6,0.000926,0.000901
810000,7,0.000921,0.000897
810000,8,0.000953,0.000905
810000,9,0.000914,0.000901
902500,0,0.001022,0.001041
902500,1,0.001057,0.001014
902500,2,0.001056,0.001013
902500,3,0.001027,0.001105
902500,4,0.001056,0.001010
902500,5,0.001025,0.001002
902500,6,0.001023,0.001005
902500,7,0.001023,0.001005
902500,8,0.001060,0.001011
902500,9,0.001024,0.001044
1000000,0,0.001143,0.001158
1000000,1,0.001135,0.001116
1000000,2,0.001140,0.001115
1000000,3,0.001285,0.001121
1000000,4,0.001139,0.001150
1000000,5,0.001137,0.001182
1000000,6,0.001135,0.001153
1000000,7,0.001150,0.001119
1000000,8,0.001135,0.001116
1000000,9,0.001135,0.001174
1102500,0,0.001264,0.001237
1102500,1,0.001245,0.001297
1102500,2,0.001260,0.001231
1102500,3,0.001284,0.001242
1102500,4,0.001256,0.001265
1102500,5,0.001260,0.001268
1102500,6,0.001253,0.001230
1102500,7,0.001260,0.001271
1102500,8,0.001253,0.001237
1102500,9,0.001284,0.001295
1210000,0,0.001385,0.001350
1210000,1,0.001374,0.001357
1210000,2,0.001369,0.001351
1210000,3,0.001381,0.001389
1210000,4,0.001377,0.001361
1210000,5,0.001410,0.001355
1210000,6,0.001386,0.001360
1210000,7,0.001441,0.001433
1210000,8,0.001379,0.001356
1210000,9,0.001377,0.001423
1322500,0,0.001503,0.001482
1322500,1,0.001500,0.001554
1322500,2,0.001652,0.001488
1322500,3,0.001509,0.001579
1322500,4,0.001509,0.001482
1322500,5,0.001508,0.001518
1322500,6,0.001507,0.001484
1322500,7,0.001503,0.001488
1322500,8,0.001546,0.001522
1322500,9,0.001538,0.001571
1440000,0,0.001805,0.001649
1440000,1,0.001820,0.001649
1440000,2,0.001788,0.001788
1440000,3,0.001857,0.001649
1440000,4,0.001679,0.001856
1440000,5,0.001680,0.001786
1440000,6,0.001748,0.001757
1440000,7,0.001781,0.001793
1440000,8,0.001683,0.001685
1440000,9,0.001854,0.001653
1562500,0,0.001980,0.001822
1562500,1,0.001915,0.001851
1562500,2,0.002006,0.001817
1562500,3,0.001967,0.001838
1562500,4,0.002000,0.001827
1562500,5,0.001898,0.001922
1562500,6,0.001846,0.001966
1562500,7,0.001889,0.002052
1562500,8,0.002036,0.001847
1562500,9,0.001825,0.001792
1690000,0,0.002054,0.002043
1690000,1,0.001971,0.001972
1690000,2,0.002081,0.001900
1690000,3,0.001954,0.001930
1690000,4,0.001993,0.001900
1690000,5,0.001967,0.002153
1690000,6,0.001991,0.002106
1690000,7,0.002001,0.002148
1690000,8,0.001990,0.002109
1690000,9,0.001999,0.002136
1822500,0,0.002155,0.002358
1822500,1,0.002263,0.002145
1822500,2,0.002256,0.002223
1822500,3,0.002294,0.002215
1822500,4,0.002615,0.002267
1822500,5,0.002268,0.002252
1822500,6,0.002203,0.002288
1822500,7,0.002175,0.002273
1822500,8,0.002307,0.002140
1822500,9,0.002252,0.002281
1960000,0,0.002447,0.002347
1960000,1,0.002469,0.002382
1960000,2,0.002402,0.002416
1960000,3,0.002324,0.002590
1960000,4,0.002395,0.002405
1960000,5,0.002469,0.002289
1960000,6,0.002483,0.002378
1960000,7,0.002344,0.002468
1960000,8,0.002474,0.002363
1960000,9,0.002484,0.002339
2102500,0,0.002609,0.002621
2102500,1,0.002499,0.002577
2102500,2,0.002732,0.002461
2102500,3,0.002675,0.002664
2102500,4,0.002606,0.002579
2102500,5,0.002495,0.002711
2102500,6,0.002546,0.002570
2102500,7,0.002429,0.002374
2102500,8,0.002426,0.002437
2102500,9,0.002469,0.002463
2250000,0,0.002571,0.002591
2250000,1,0.002621,0.002530
2250000,2,0.002557,0.002523
2250000,3,0.002631,0.002771
2250000,4,0.002946,0.002764
2250000,5,0.003030,0.002800
2250000,6,0.002672,0.002637
2250000,7,0.002701,0.002600
2250000,8,0.002666,0.002532
2250000,9,0.002637,0.002632
2402500,0,0.002802,0.002702
2402500,1,0.002842,0.002701
2402500,2,0.002837,0.002743
2402500,3,0.002830,0.002710
2402500,4,0.002772,0.002802
2402500,5,0.002734,0.002781
2402500,6,0.002778,0.002700
2402500,7,0.002741,0.002702
2402500,8,0.002874,0.002745
2402500,9,0.003023,0.002769
2560000,0,0.003200,0.002883
2560000,1,0.003104,0.003024
2560000,2,0.003026,0.003092
2560000,3,0.002954,0.002947
2560000,4,0.003238,0.003058
2560000,5,0.003345,0.003021
2560000,6,0.003004,0.002977
2560000,7,0.002954,0.002990
2560000,8,0.003200,0.002906
2560000,9,0.003022,0.003209
2722500,0,0.003277,0.003366
2722500,1,0.003339,0.003360
2722500,2,0.003413,0.003373
2722500,3,0.003338,0.003385
2722500,4,0.003370,0.003454
2722500,5,0.003529,0.003394
2722500,6,0.003423,0.003253
2722500,7,0.003596,0.003443
2722500,8,0.003406,0.003386
2722500,9,0.003374,0.003340
2890000,0,0.003610,0.003541
2890000,1,0.003661,0.003574
2890000,2,0.003711,0.003534
2890000,3,0.003720,0.003564
2890000,4,0.003617,0.003619
2890000,5,0.003654,0.003531
2890000,6,0.003726,0.003686
2890000,7,0.003597,0.003607
2890000,8,0.003628,0.003687
2890000,9,0.003691,0.004127
3062500,0,0.003857,0.003813
3062500,1,0.003998,0.003750
3062500,2,0.003830,0.003776
3062500,3,0.003800,0.003736
3062500,4,0.004098,0.003683
3062500,5,0.003716,0.003690
3062500,6,0.003698,0.003892
3062500,7,0.004008,0.003670
3062500,8,0.003561,0.003512
3062500,9,0.003636,0.003488
3240000,0,0.003825,0.003681
3240000,1,0.003736,0.003707
3240000,2,0.003873,0.003982
3240000,3,0.004046,0.003988
3240000,4,0.003770,0.003788
3240000,5,0.003800,0.003639
3240000,6,0.003742,0.003676
3240000,7,0.003779,0.003641
3240000,8,0.003818,0.003656
3240000,9,0.003698,0.003687
3422500,0,0.004030,0.004150
3422500,1,0.004242,0.004146
3422500,2,0.004177,0.003994
3422500,3,0.004112,0.003975
3422500,4,0.003924,0.004067
3422500,5,0.004241,0.003961
3422500,6,0.004088,0.004216
3422500,7,0.004289,0.005387
3422500,8,0.005010,0.004334
3422500,9,0.004279,0.004326
3610000,0,0.004599,0.004492
3610000,1,0.004489,0.004412
3610000,2,0.004501,0.004654
3610000,3,0.004517,0.004440
3610000,4,0.004453,0.004440
3610000,5,0.004494,0.004411
3610000,6,0.004540,0.004573
3610000,7,0.004472,0.004721
3610000,8,0.006164,0.004647
3610000,9,0.004433,0.004502
3802500,0,0.005722,0.004746
3802500,1,0.004702,0.005271
3802500,2,0.004947,0.004736
3802500,3,0.005013,0.004599
3802500,4,0.004679,0.004586
3802500,5,0.004936,0.004589
3802500,6,0.004691,0.004843
3802500,7,0.004586,0.004510
3802500,8,0.004590,0.004838
3802500,9,0.004896,0.004643
4000000,0,0.005031,0.004812
4000000,1,0.004976,0.004780
4000000,2,0.005050,0.004820
4000000,3,0.004666,0.005258
4000000,4,0.004712,0.005199
4000000,5,0.005354,0.005088
4000000,6,0.004993,0.005004
4000000,7,0.005215,0.005169
4000000,8,0.005040,0.005141
4000000,9,0.005259,0.004951
4202500,0,0.005501,0.005096
4202500,1,0.005036,0.005265
4202500,2,0.005025,0.005378
4202500,3,0.005184,0.006079
4202500,4,0.005525,0.005359
4202500,5,0.006888,0.005726
4202500,6,0.005523,0.005220
4202500,7,0.005322,0.005472
4202500,8,0.005433,0.005388
4202500,9,0.005222,0.005344
4410000,0,0.005780,0.005412
4410000,1,0.005903,0.005548
4410000,2,0.005479,0.005860
4410000,3,0.005447,0.005563
4410000,4,0.005649,0.005401
