SIZE,ITERATION,NAIVE,BETTER,GSL
25,0,29253,12993,26798
25,1,22555,13205,16408
25,2,29132,12659,16582
25,3,22884,13800,16342
25,4,22255,12359,16532
25,5,22694,11734,16275
25,6,23458,11813,16721
25,7,22734,11728,16655
25,8,22960,12906,16696
25,9,23964,13537,16615
50,0,189494,88301,141747
50,1,177483,94907,145826
50,2,172169,84682,143343
50,3,180065,84498,144670
50,4,174760,89537,140816
50,5,180356,83075,145158
50,6,181373,86179,140032
50,7,171354,83850,136617
50,8,176229,86891,143592
50,9,171193,86568,183047
75,0,1220967,292836,545817
75,1,643845,273352,535264
75,2,616873,303109,594913
75,3,701127,308888,719083
75,4,795241,292181,553985
75,5,703062,313113,573392
75,6,673145,289808,576975
75,7,658901,287238,607051
75,8,688910,318011,578731
75,9,836653,653326,911026
100,0,2095215,736363,1306956
100,1,1723029,713784,1506229
100,2,1576877,699710,1016593
100,3,1506754,456194,761322
100,4,1519936,586178,1529755
100,5,2029232,1387552,1068520
100,6,2217456,868780,990837
100,7,1400126,492295,810966
100,8,1288287,398304,662383
100,9,1426123,1063339,1235140
125,0,3303774,1358468,3394148
125,1,3199768,811061,1534727
125,2,3339092,1127493,2438071
125,3,2959346,1283130,3349500
125,4,2586473,905949,2610019
125,5,3042066,785085,2169017
125,6,4439444,880212,1271475
125,7,3271606,1030506,1696055
125,8,2499215,1210910,2637724
125,9,3704967,686519,2037005
150,0,5253400,1305106,4260820
150,1,4499616,3083480,4357822
150,2,5230705,1359251,2253514
150,3,5858449,1401642,2512411
150,4,4738719,1345022,3094413
150,5,5037340,1454951,3705348
150,6,4439985,2282217,3110811
150,7,4379194,1924975,2427834
150,8,4902087,1749399,2738651
150,9,4762693,1410898,2228251
175,0,8320710,2388795,4064109
175,1,7337712,3109223,4338785
175,2,8175418,3675089,4405658
175,3,7374963,3087599,4058492
175,4,7241390,3008388,4266298
175,5,8092051,2137526,5161338
175,6,8077100,2219648,4509483
175,7,7852808,2965609,4049550
175,8,7501987,2864750,3381452
175,9,8032333,2930974,3645486
200,0,12014174,4288064,5983428
200,1,11542503,3696081,6407096
200,2,11011515,4248431,5754091
200,3,11415124,3533288,5219621
200,4,11472980,3514971,7245399
200,5,11437497,4167653,6155879
200,6,11839623,3250732,5470817
200,7,10767209,3353289,5149027
200,8,10702854,3313559,5318422
200,9,10167771,3102281,6114961
225,0,14679713,4687864,7106963
225,1,14839469,4048884,8205411
225,2,15466129,4592930,8856703
225,3,16071359,5134678,8435642
225,4,18334441,5804985,8212154
225,5,17072427,5399823,8479084
225,6,13946643,4576740,7315521
225,7,14428757,4246281,6941943
225,8,12845920,3961896,6590801
225,9,12886163,4008778,6676863
250,0,18240140,5744234,9817588
250,1,24204333,7007867,11938552
250,2,24115458,6897832,13171383
250,3,23815070,7488077,12820546
250,4,25757690,9950770,15527292
250,5,29179573,9907121,14086883
250,6,23755382,8588247,10910381
250,7,19598757,5868218,10232400
250,8,19389104,6655901,10494475
250,9,25857626,7234609,12686021
275,0,31317938,8561914,15522844
275,1,35855725,7920447,16908785
275,2,33764444,8764975,15819511
275,3,31738423,9394468,15874663
275,4,32008563,8919980,17263369
275,5,32222423,10801568,16607942
275,6,33855564,8363390,20406096
275,7,35762628,8955842,15919185
275,8,27376058,7818508,15552229
275,9,32518113,9870489,16545403
300,0,53472147,22347976,33064243
300,1,53086672,10054150,17291810
300,2,36560319,14441266,24524684
300,3,39131432,10744223,22823454
300,4,51541625,10981157,18925724
300,5,34686861,9959177,16564767
300,6,35167727,16069361,17011339
300,7,40717151,11371969,23469701
300,8,38445078,11798754,18902880
300,9,37501195,10130796,18890910
325,0,61123632,12957273,22318864
325,1,43168430,12292361,23795027
325,2,40460679,14096868,25645683
325,3,42952936,11631602,19868145
325,4,38916186,12573700,24172846
325,5,44174245,15530282,22670874
325,6,47022053,15008888,24490697
325,7,46364091,11712511,23266045
325,8,43494114,12058046,22169143
325,9,42816720,16410976,22177367
350,0,52033777,16703127,28331249
350,1,50902727,14402885,26776145
350,2,54872262,24105889,29690155
350,3,48305890,15196846,26231183
350,4,53693432,15971014,34909854
350,5,57085516,18391870,28466508
350,6,67974257,22749347,48022249
350,7,69752163,17075517,33322744
350,8,71789314,16542403,35321701
350,9,63741504,18299153,31446805
375,0,80270475,20285948,45834514
375,1,77672094,25582579,33123589
375,2,74426092,21710064,37972564
375,3,78287360,24347448,36620377
375,4,85307271,26353044,51062431
375,5,72633157,19618280,42663431
375,6,74348652,22109392,35234722
375,7,88252619,26050329,44032005
375,8,73994712,19265420,35474946
375,9,68637353,17590671,35401774
400,0,80486136,29527138,41243888
400,1,99001069,32630066,57080358
400,2,108346200,25926726,49095050
400,3,82071819,27814918,39908291
